threads,run,real_seconds
1,1,67.012
1,2,63.418
1,3,62.740
1,4,62.738
1,5,62.707
1,6,62.729
1,7,62.712
1,8,62.727
1,9,62.741
1,10,62.720
2,1,31.311
2,2,31.345
2,3,31.314
2,4,31.337
2,5,31.317
2,6,31.307
2,7,31.304
2,8,31.306
2,9,31.329
2,10,31.324
3,1,20.881
3,2,20.913
3,3,20.897
3,4,20.903
3,5,20.916
3,6,20.888
3,7,20.904
3,8,20.919
3,9,21.067
3,10,21.663
4,1,17.913
4,2,18.127
4,3,20.660
4,4,20.581
4,5,19.480
4,6,20.326
4,7,19.719
4,8,20.598
4,9,19.947
4,10,19.735
5,1,15.369
5,2,15.537
5,3,15.099
5,4,15.481
5,5,15.907
5,6,15.228
5,7,15.691
5,8,15.250
5,9,15.832
5,10,15.122
6,1,13.604
6,2,13.945
6,3,13.573
6,4,13.767
6,5,13.896
6,6,13.543
6,7,13.550
6,8,13.826
6,9,13.926
6,10,13.735
7,1,12.450
7,2,12.552
7,3,12.441
7,4,12.482
7,5,12.430
7,6,12.336
7,7,12.470
7,8,12.396
7,9,12.563
7,10,12.358
8,1,11.367
8,2,11.451
8,3,11.387
8,4,11.395
8,5,11.372
8,6,11.283
8,7,11.444
8,8,11.291
8,9,11.391
8,10,11.371
9,1,10.377
9,2,10.381
9,3,10.516
9,4,10.386
9,5,10.357
9,6,10.484
9,7,10.443
9,8,10.416
9,9,10.428
9,10,10.349
10,1,9.631
10,2,9.618
10,3,9.711
10,4,9.650
10,5,9.650
10,6,9.604
10,7,9.699
10,8,9.632
10,9,9.620
10,10,9.616
11,1,8.958
11,2,8.947
11,3,8.938
11,4,8.921
11,5,8.914
11,6,8.921
11,7,8.966
11,8,8.977
11,9,8.918
11,10,9.141
12,1,8.492
12,2,8.389
12,3,8.452
12,4,8.423
12,5,8.512
12,6,8.424
12,7,8.592
12,8,8.503
12,9,8.412
12,10,8.462
13,1,8.714
13,2,8.711
13,3,8.529
13,4,8.547
13,5,8.582
13,6,8.754
13,7,8.672
13,8,8.698
13,9,8.647
13,10,8.817
14,1,8.550
14,2,8.580
14,3,8.556
14,4,8.565
14,5,8.686
14,6,8.661
14,7,8.628
14,8,8.892
14,9,8.918
14,10,8.723
15,1,8.693
